SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,COMPANY_ADDRESS,GOODS_PRICE
//rate.taobao.com/user-rate-UvGHLvFv0MFkWONTT.htm,金丝绒百褶裙半身裙女秋冬 2017新款韩版中长款高腰百搭长裙a字裙,http://detail.tmall.com/item.htm?id=557656083366&skuId=3457803640956&user_id=3161345908&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,依辰美旗舰店,,,79.00
//rate.taobao.com/user-rate-UvGN4MCgSvFg4MNTT.htm,高领毛衣女冬加厚短款打底套头宽松学生百搭保暖2017新款纯色长袖,http://detail.tmall.com/item.htm?id=562958014388&skuId=3707559679620&user_id=3086891884&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,萌喜儿旗舰店,,,89.00
//rate.taobao.com/user-rate-UvCHSvFgbvGkGMWTT.htm,2017新款高腰阔腿毛呢短裤女秋冬宽松韩版显瘦A字外穿松紧腰靴裤,http://detail.tmall.com/item.htm?id=560574433962&skuId=3505631393276&user_id=2191853937&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,安雅潘洛旗舰店,,"浙江省,  杭州市",69.00
//rate.taobao.com/user-rate-UvCIuMmIWvmv0ONTT.htm,冬季外套中长款chic羽绒棉袄女2017新款韩版过膝棉衣面包服bf棉服,http://detail.tmall.com/item.htm?id=559413528977&skuId=3654125695092&user_id=2274200348&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,玛尚美旗舰店,,上海,99.00
//rate.taobao.com/user-rate-UvGN4vFNuMCkYvQTT.htm,短裤女冬款外穿厚韩版百搭2017新款靴裤休闲秋冬季高腰阔腿女裤子,http://detail.tmall.com/item.htm?id=545327119261&skuId=3504007176779&user_id=3081076911&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,唯美蜻蜓旗舰店,,,85.00
//rate.taobao.com/user-rate-UvGvSvCIbMmNuvNTT.htm,原宿外套女冬加厚加绒2017新款韩版假两件卫衣女连帽学生宽松长袖,http://detail.tmall.com/item.htm?id=561867420273&skuId=4611686580294808177&user_id=3392254070&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,埃蝶旗舰店,,,79.00
//rate.taobao.com/user-rate-UvCN0OmIyvm8LONTT.htm,保暖毛衣女加厚加绒冬2017新款黑色打底衫女长袖半高领短款针织衫,http://detail.tmall.com/item.htm?id=562347217839&skuId=3698411303265&user_id=2048220568&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,贝莎依儿旗舰店,,"江苏省,  苏州市",79.00
//rate.taobao.com/user-rate-UvFNGMFvWvFQyvNTT.htm,2017秋冬装新款加绒加厚原宿风套头上衣外套印花宽松学生女卫衣潮,http://detail.tmall.com/item.htm?id=559015891559&skuId=4611686577443279463&user_id=1035301420&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,米子旗旗舰店,,"浙江省,  杭州市",89.00
//rate.taobao.com/user-rate-UvGNLMmNGOFH0MWTT.htm,毛呢阔腿裤女秋冬2017新款高腰加厚韩版百搭ulzzang港味九分裤子,http://detail.tmall.com/item.htm?id=563078309381&skuId=3709704810726&user_id=3064039147&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,美尚华绣服饰旗舰店,"广东,  广州",,109.00
//rate.taobao.com/user-rate-UvFc0vCkSMGILvQTT.htm,欣思佳萝卜裤女秋冬格子哈伦裤2017新款九分休闲百搭韩版香蕉裤,http://detail.tmall.com/item.htm?id=554307049238&skuId=3714603242411&user_id=1742997261&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,欣思佳旗舰店,,"浙江,  杭州",99.00
//rate.taobao.com/user-rate-UvCHyvmkyOFNSvNTT.htm,中长款毛衣女2017秋冬新款加绒宽松过膝连衣裙加厚套头打底针织衫,http://detail.tmall.com/item.htm?id=559187504308&skuId=3651855851233&user_id=2120929090&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,慕莱娜旗舰店,,"江苏,  苏州",69.90
//rate.taobao.com/user-rate-UMGxYMm8LvCc4.htm,阿尔巴卡chic呢子大衣女学生小个子毛呢外套女中长款韩版2017新款,http://detail.tmall.com/item.htm?id=563443367627&skuId=3547390068062&user_id=761456278&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,luosimate旗舰店,,"浙江,  温州",158.00
//rate.taobao.com/user-rate-UvCIbOmc4vCHSvgTT.htm,秋冬季新款针织衫女2017韩版绣花半高领长袖打底衫荷叶袖加厚毛衣,http://detail.tmall.com/item.htm?id=562111633875&skuId=3693485806897&user_id=2258782192&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,小城天使旗舰店,,"广东,  惠州",69.00
//rate.taobao.com/user-rate-UvCIuvGIGOmI4vgTT.htm,面包chic羽绒棉服女中长款2017新款韩版过膝棉衣服棉袄外套冬装潮,http://detail.tmall.com/item.htm?id=542251728849&skuId=3535059900249&user_id=2273238282&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,夏梵尼旗舰店,,"浙江,  杭州",228.00
//rate.taobao.com/user-rate-UvGN0MGxLOmgGMWTT.htm,阔腿裤女九分裤2017秋冬新款韩版高腰休闲直筒裤黑色宽松毛呢裤子,http://detail.tmall.com/item.htm?id=558069106494&skuId=3675844703379&user_id=3047668837&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,歌芭慕旗舰店,,,85.00
//rate.taobao.com/user-rate-UvGIbMGQWMmNSMNTT.htm,连帽卫衣女冬季2017新款韩版bf风学生宽松加绒加厚款ins上衣外套,http://detail.tmall.com/item.htm?id=562136273167&skuId=3693916054488&user_id=3257404094&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,蔓露馨旗舰店,"广东,  深圳",,95.00
//rate.taobao.com/user-rate-UvFgWvFILOmQGvNTT.htm,2017冬装新款韩版潮宽松连帽毛衣女百搭针织假俩件拼色加厚打底衫,http://detail.tmall.com/item.htm?id=563208881990&skuId=3545929004834&user_id=1801268430&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,微晴旗舰店,,"江苏省,  苏州市",99.00
//rate.taobao.com/user-rate-UvCILOFH4vCkyMQTT.htm,高腰金丝绒短裤女冬款韩版百搭加厚冬天短裤2017新款阔腿靴裤外穿,http://detail.tmall.com/item.htm?id=561218006314&skuId=3679851287539&user_id=2269182925&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,金秀鱼服饰旗舰店,,北京,68.00
//rate.taobao.com/user-rate-UvCILMmI0vG80vQTT.htm,中长款高领套头加绒毛衣女加厚冬新款2017韩版宽松修身针织打底衫,http://detail.tmall.com/item.htm?id=539633947496&skuId=3712416826454&user_id=2264243541&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,伊莎帕罗旗舰店,,"浙江,  杭州",79.00
//rate.taobao.com/user-rate-UvFcLMCNYvCvGMgTT.htm,休闲裤女秋冬 加厚高腰宽松韩版2017新款长裤时尚裤子针织阔腿裤,http://detail.tmall.com/item.htm?id=562950919947&skuId=3705327630793&user_id=1766012336&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,飘虹儿旗舰店,,"广东,  广州",79.00
//rate.taobao.com/user-rate-UvCQbvC8yvCxGvNTT.htm,羽绒棉服女中长款2017冬装新款韩国版大码棉衣女修身过膝棉服外套,http://detail.tmall.com/item.htm?id=561968096089&skuId=3535604441232&user_id=2452522630&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,钻姿旗舰店,,"浙江,  杭州",238.00
//rate.taobao.com/user-rate-UvCkLvmcYMmgSvWTT.htm,双面羊绒大衣女中长款2017新款韩国加厚过膝系腰带羊毛呢外套显瘦,http://detail.tmall.com/item.htm?id=562907492895&skuId=3542653504578&user_id=2960714893&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,旭凡绒都旗舰店,,,468.00
//rate.taobao.com/user-rate-UvFxbvCc0vGkuMgTT.htm,高领毛衣女套头秋冬韩版宽松百搭打底针织衫2017新款学生上衣加厚,http://detail.tmall.com/item.htm?id=562547043175&skuId=3533761933620&user_id=1652743976&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,蒂拉格慕旗舰店,,"浙江省,  杭州市",108.00
//rate.taobao.com/user-rate-UvFHGMG8GOmNWvNTT.htm,加绒加厚运动裤女秋冬新款2017毛羊羔绒休闲韩版宽松棉裤百搭卫裤,http://detail.tmall.com/item.htm?id=539591136248&skuId=3233808569692&user_id=1137538000&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,蓓莉佳旗舰店,,"山东,  青岛",79.00
//rate.taobao.com/user-rate-UvFgbvCIGvGQLvNTT.htm,棉衣女中长款2017冬季新款韩版原宿小棉袄外套加厚修身羽绒棉服潮,http://detail.tmall.com/item.htm?id=562688951943&skuId=3536168385156&user_id=1852233460&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,依妮芙旗舰店,,"浙江,  杭州",238.00
//rate.taobao.com/user-rate-UvCkWMGILMmQYMWTT.htm,棉服女2017冬季新款韩版加厚宽松两面穿中长款外套棉衣羽绒棉袄,http://detail.tmall.com/item.htm?id=558393613841&skuId=3636021330733&user_id=2907264417&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,蕾霓斯服饰旗舰店,,,135.00
//rate.taobao.com/user-rate-UvGHuvCIuMFvyMWTT.htm,棉衣女短款冬装2017新款女装韩版宽松小棉袄女士加厚棉衣冬季外套,http://detail.tmall.com/item.htm?id=562144739151&skuId=3691788130898&user_id=3172275327&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,梵珂旗舰店,,,168.00
//rate.taobao.com/user-rate-UvGHWMCv0vCv4MNTT.htm,针织阔腿裤 加厚高腰宽松韩版2017新款长裤时尚裤子休闲裤女秋冬,http://detail.tmall.com/item.htm?id=562153368811&skuId=3695885522100&user_id=3106342384&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,君图旗舰店,,,79.00
//rate.taobao.com/user-rate-UvCkWMmILvmv4MWTT.htm,格子毛呢裤裙短裙防走光A字裙格子裙半生裙半身裙女秋冬2017新款,http://detail.tmall.com/item.htm?id=560309429587&skuId=3501624369468&user_id=2904260387&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,姣兰花旗舰店,"广东,  深圳",,69.00
//rate.taobao.com/user-rate-UvCkyvGI0Omc0OQTT.htm,毛呢哈伦裤女秋冬九分加绒小脚萝卜裤子2017新款韩版休闲运动卫裤,http://detail.tmall.com/item.htm?id=562561648394&skuId=3537079044527&user_id=2923248749&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,米贝薇旗舰店,,,89.00
//rate.taobao.com/user-rate-UvFNGMFvWvFQyvNTT.htm,2017冬季新款连帽加绒chic卫衣女加厚韩版学生宽松bf ulzzang外套,http://detail.tmall.com/item.htm?id=539181136245&skuId=4611686557608524149&user_id=1035301420&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,米子旗旗舰店,,"浙江省,  杭州市",79.00
//rate.taobao.com/user-rate-UvCkbOm80MFc0vQTT.htm,棉服女中长款冬装2017新款韩版宽松大毛领面包服过膝羽绒棉衣外套,http://detail.tmall.com/item.htm?id=563487400330&skuId=3718709715802&user_id=2958545741&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,后惑旗舰店,北京,,258.00
//rate.taobao.com/user-rate-UvCkuMFguvFNGvWTT.htm,冬裙子冬女毛呢复古格子半身裙秋冬2017新款a字裙不规则a型短裙,http://detail.tmall.com/item.htm?id=560923255402&skuId=3508903837395&user_id=2975871033&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,蔻戈旗舰店,,,84.55
//rate.taobao.com/user-rate-UvG8SOFxYvGvbOQTT.htm,秋冬毛呢阔腿裤女裤子2017新款韩版百搭宽松直筒萝卜裤休闲哈伦裤,http://detail.tmall.com/item.htm?id=563597141156&skuId=3551862340115&user_id=3599613359&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,珂菲莎旗舰店,,,69.00
//rate.taobao.com/user-rate-UvCNLMFH0MFg4MgTT.htm,2017半高领打底毛衣女中长款套头宽松韩版长袖冬装新款蕾丝针织衫,http://detail.tmall.com/item.htm?id=561656598113&skuId=3520622617461&user_id=2065145886&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,红惑旗舰店,,"江苏省,  苏州市",89.00
//rate.taobao.com/user-rate-UvFcLMmI4MmxuMNTT.htm,半高领毛衣女套头宽松韩版秋冬季打底衫2017新款潮百搭针织衫长袖,http://detail.tmall.com/item.htm?id=561547547543&skuId=3683586207333&user_id=1764284674&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,青花羊旗舰店,,"江苏省,  苏州市",108.00
//rate.taobao.com/user-rate-UvGHuvmc4vGv0vNTT.htm,慵懒风高领毛衣女宽松2017冬季新款套头长袖加厚打底衫针织学院风,http://detail.tmall.com/item.htm?id=561736536191&skuId=3689765811952&user_id=3170783340&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,珍依莲旗舰店,,,69.90
//rate.taobao.com/user-rate-UvGv4MGv0vCH0MNTT.htm,2017新款正品薄款羽绒服女轻薄短款连帽韩版修身轻便大码冬装外套,http://detail.tmall.com/item.htm?id=562542177899&skuId=4611686580969565803&user_id=3387342144&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,欧靓依旗舰店,"浙江,  嘉兴",,129.00
//rate.taobao.com/user-rate-UvFgWvGcWMmQYMWTT.htm,2017新款正品薄款羽绒服女轻薄短款连帽韩版修身轻便大码冬装外套,http://detail.tmall.com/item.htm?id=561492825342&skuId=4611686579920213246&user_id=1803704417&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,简卡璐旗舰店,,"浙江,  杭州",79.00
//rate.taobao.com/user-rate-UvCIuvGIGOmI4vgTT.htm,金丝绒羽绒棉服女中长款2017新款韩版面包棉袄过膝ins棉衣冬装潮,http://detail.tmall.com/item.htm?id=563095170080&skuId=3544115249861&user_id=2273238282&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,夏梵尼旗舰店,,"浙江,  杭州",258.00
//rate.taobao.com/user-rate-UvCN4MCILMGIGONTT.htm,韩版半高领毛衣套头宽松女潮2017新款时尚秋冬长袖打底针织衫上衣,http://detail.tmall.com/item.htm?id=561478774612&skuId=3518062637760&user_id=2086267238&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,索尔莉旗舰店,,"江苏省,  苏州市",98.00
//rate.taobao.com/user-rate-UvCH4vCgWvmgWMgTT.htm,红色圣诞毛衣女外套开衫韩版中长款宽松针织衫冬2017春装新款加厚,http://detail.tmall.com/item.htm?id=563358443290&skuId=3712884211992&user_id=2182800806&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,韩优尚旗舰店,,"浙江省,  嘉兴市",89.00
//rate.taobao.com/user-rate-UvGN4vFIbOFc0MWTT.htm,2017秋冬季新款韩版加厚翻高领短款套头毛衣女士时尚宽松针织衫潮,http://detail.tmall.com/item.htm?id=562952923733&skuId=3539466352728&user_id=3081259747&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,茵姿妙旗舰店,,,79.00
//rate.taobao.com/user-rate-UvFxSMFNGMGx0vgTT.htm,毛呢外套女中长款加厚大衣冬季韩版2017新款韩国学生宽松呢子清仓,http://detail.tmall.com/item.htm?id=563894241765&skuId=3557775645551&user_id=1695037642&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,圣多名妮旗舰店,,"广东省,  深圳市",69.90
//rate.taobao.com/user-rate-UvCxGOmHuOF8u.htm,韩都衣舍2017冬新款女装韩版宽松连帽加厚套头加绒潮卫衣IG6431e,http://detail.tmall.com/item.htm?id=536416844774&skuId=3301315524614&user_id=263817957&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,韩都衣舍旗舰店,,"山东,  济南",152.00
//rate.taobao.com/user-rate-UvFkLvCH4vCHbOQTT.htm,韩版秋冬季长袖连帽卫衣女2017新款学生宽松加绒加厚外套薄款上衣,http://detail.tmall.com/item.htm?id=558046718150&skuId=3510944252664&user_id=1962182159&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,端木紫旗舰店,,"广东,  广州",69.00
//rate.taobao.com/user-rate-UvGNuMmvSvGN4vQTT.htm,半高领刺绣毛衣女套头宽松韩版秋冬季打底衫2017新款潮针织衫长袖,http://detail.tmall.com/item.htm?id=562702227850&skuId=3535300856207&user_id=3074393081&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,倾吻旗舰店,,,89.00
//rate.taobao.com/user-rate-UvGHLvmvSOFNbvWTT.htm,ins棉服女短款原宿棉袄女2017新款韩版宽松面包服chic棉衣外套冬,http://detail.tmall.com/item.htm?id=563253916798&skuId=3714267142417&user_id=3160399053&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,梦印旗舰店,,,159.00
//rate.taobao.com/user-rate-UvFkbMFHyvm8yONTT.htm,驼色赫本呢子大衣女中长款韩国2017新款学生加厚chic毛呢外套韩版,http://detail.tmall.com/item.htm?id=562455262184&skuId=3738814690640&user_id=1955120528&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,梦蝶婷服饰旗舰店,,"浙江,  嘉兴",248.00
//rate.taobao.com/user-rate-UvFcLMCN0MGkWMWTT.htm,黑色高领毛衣女冬套头加厚宽松韩版学生时尚潮春秋2017新款慵懒风,http://detail.tmall.com/item.htm?id=563140615755&skuId=3542475904120&user_id=1766047907&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,戚米旗舰店,,"浙江省,  嘉兴市",79.00
//rate.taobao.com/user-rate-UvFcLMCN0MGkWMWTT.htm,毛衣女马海毛毛衣中长款宽松韩版套头学生海马毛毛衣女2017新款冬,http://detail.tmall.com/item.htm?id=563857021792&skuId=3722965643761&user_id=1766047907&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,戚米旗舰店,,"浙江省,  嘉兴市",88.00
//rate.taobao.com/user-rate-UvGQWOFc4vFkYvWTT.htm,2017新款韩版高领条纹加厚毛衣女学生秋冬套头长袖修身打底针织衫,http://detail.tmall.com/item.htm?id=562102519728&skuId=3691114894109&user_id=3409781913&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,裳苑女装旗舰店,,,110.00
//rate.taobao.com/user-rate-UvFcGMm8yMmHbvNTT.htm,2017冬季新款高领加厚针织衫毛衣女韩版宽松撞色拼接毛线打底衫,http://detail.tmall.com/item.htm?id=563049825886&skuId=3544447117600&user_id=1734524150&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,歌慕妮旗舰店,,"江苏省,  苏州市",99.00
//rate.taobao.com/user-rate-UvFN0OmNGOF8bOQTT.htm,2017冬季新款韩版羽绒服女中长款加厚白貉大毛领收腰显瘦外套女潮,http://detail.tmall.com/item.htm?id=562119589422&skuId=3703336511662&user_id=1048039559&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,luomandike旗舰店,,"浙江,  嘉兴",598.00
//rate.taobao.com/user-rate-UvCkGOFQyOFgyMgTT.htm,2017秋冬新款高腰包臀针织半身裙毛线裙子中长款长裙开叉一步裙女,http://detail.tmall.com/item.htm?id=559265592984&skuId=3650902198368&user_id=2939429826&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,初漾旗舰店,"浙江,  嘉兴",,89.00
//rate.taobao.com/user-rate-UvCHGvFvLMCIuvQTT.htm,毛呢格子短裤女秋冬高腰2017新款外穿冬修身显瘦打底呢子短裤靴裤,http://detail.tmall.com/item.htm?id=560407609207&skuId=3668524319783&user_id=2131366271&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,洛思蒂旗舰店,,"浙江,  杭州",69.00
//rate.taobao.com/user-rate-UvCILMmIWvFk0MgTT.htm,LRUD针织衫2017秋装新款女装韩版潮套头毛衣女修身长袖打底衫上衣,http://detail.tmall.com/item.htm?id=538809400352&skuId=3461953157776&user_id=2264201946&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,lrud旗舰店,,"广东,  广州",69.00
//rate.taobao.com/user-rate-UvGHLvFv0MFkWONTT.htm,毛线针织阔腿裤女秋冬2017新款加厚宽松九分高腰显瘦直筒长裤子潮,http://detail.tmall.com/item.htm?id=562130817694&skuId=3694692011313&user_id=3161345908&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,依辰美旗舰店,,,79.00
//rate.taobao.com/user-rate-UvCNYOFxYvGI0vNTT.htm,夺魁羽绒服女中长款2017新款韩版潮过膝修身大码妈妈冬大毛领外套,http://detail.tmall.com/item.htm?id=563251158683&skuId=3545509868050&user_id=2019613240&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,夺魁旗舰店,,"浙江,  嘉兴",298.00
//rate.taobao.com/user-rate-UvGHbOFQyMGx0vgTT.htm,高腰a字阔腿毛呢短裤女秋冬季2017新款显瘦呢子打底外穿靴裤宽松,http://detail.tmall.com/item.htm?id=557805917786&skuId=3550960264087&user_id=3159427642&cat_id=50025135&is_b=1&rn=1c128f549faa4008827dbe6fa606429b,多侈旗舰店,,,69.00
